architecture,seed,metric,class,point_estimate,ci_lower,ci_upper,contains_point_estimate
efficientnetb0,789,precision,notumor,0.9404761904761905,0.917098445595855,0.9617224880382775,True
efficientnetb0,789,f1,notumor,0.9634146341463415,0.9499358151476252,0.9761336515513127,True
efficientnetb0,789,recall,pituitary,0.995,0.9872773536895675,1.0,True
efficientnetb0,789,precision,pituitary,0.8883928571428571,0.8577878103837472,0.9166666666666666,True
efficientnetb0,789,f1,pituitary,0.9386792452830188,0.9212676708328882,0.9545454545454545,True
efficientnetb0,999,accuracy,,0.896875,0.881875,0.91125,True
efficientnetb0,999,recall,glioma,0.79,0.7494033412887828,0.828418559112653,True
efficientnetb0,999,precision,glioma,0.9159420289855073,0.8853868194842407,0.9437878133102853,True
efficientnetb0,999,f1,glioma,0.8483221476510069,0.8202240272319699,0.8743169398907102,True
efficientnetb0,999,recall,meningioma,0.8175,0.7780547107840156,0.8541115618661258,True
efficientnetb0,999,precision,meningioma,0.8766756032171582,0.8425,0.9093406593406593,True
efficientnetb0,999,f1,meningioma,0.8460543337645537,0.8177208402619879,0.8728192624598399,True
efficientnetb0,999,recall,notumor,0.9925,0.9828431372549019,1.0,True
efficientnetb0,999,precision,notumor,0.9297423887587822,0.904872261462333,0.9534313725490197,True
efficientnetb0,999,f1,notumor,0.9600967351874244,0.945945945945946,0.9730392943441819,True
efficientnetb0,999,recall,pituitary,0.9875,0.9753687833187125,0.9974874371859297,True
efficientnetb0,999,precision,pituitary,0.8681318681318682,0.8370044052863436,0.8990159346885913,True
efficientnetb0,999,f1,pituitary,0.9239766081871346,0.9053398058252429,0.9420778309046752,True
efficientnetb0,2023,accuracy,,0.905,0.890625,0.919375,True
efficientnetb0,2023,recall,glioma,0.7875,0.7457212713936431,0.827930174563591,True
efficientnetb0,2023,precision,glioma,0.9130434782608695,0.8821989528795812,0.9415209176788124,True
efficientnetb0,2023,f1,glioma,0.8456375838926175,0.8163265306122449,0.8731251491301727,True
efficientnetb0,2023,recall,meningioma,0.845,0.8086124401913876,0.8796068796068796,True
efficientnetb0,2023,precision,meningioma,0.8711340206185567,0.8362282878411911,0.9034090909090909,True
efficientnetb0,2023,f1,meningioma,0.8578680203045685,0.8305079177709971,0.8827238335435057,True
efficientnetb0,2023,recall,notumor,0.9925,0.9826302729528535,1.0,True
efficientnetb0,2023,precision,notumor,0.9341176470588235,0.9097222222222222,0.9569620253164557,True
efficientnetb0,2023,f1,notumor,0.9624242424242424,0.9485029940119761,0.9750628169554446,True
efficientnetb0,2023,recall,pituitary,0.995,0.9873096446700508,1.0,True
efficientnetb0,2023,precision,pituitary,0.9004524886877828,0.8713585384295075,0.9280742459396751,True
efficientnetb0,2023,f1,pituitary,0.9453681710213777,0.9290161892901619,0.9606481481481481,True
efficientnetb0,7,accuracy,,0.8875,0.871875,0.9025,True
efficientnetb0,7,recall,glioma,0.785,0.7446808510638298,0.8248189077031383,True
efficientnetb0,7,precision,glioma,0.8997134670487106,0.8674306954681085,0.9300911854103343,True
efficientnetb0,7,f1,glioma,0.8384512683578105,0.8093278463648835,0.8655989033222136,True
efficientnetb0,7,recall,meningioma,0.7925,0.7519788918205804,0.8308080808080808,True
efficientnetb0,7,precision,meningioma,0.8590785907859079,0.8218383162142333,0.8939837813006104,True
efficientnetb0,7,f1,meningioma,0.8244473342002601,0.7943796846221276,0.8519560635701753,True
efficientnetb0,7,recall,notumor,0.985,0.9722222222222222,0.9951690821256038,True
efficientnetb0,7,precision,notumor,0.9205607476635514,0.894484412470024,0.9454556225764756,True
efficientnetb0,7,f1,notumor,0.9516908212560387,0.9362808842652798,0.9658421672555948,True
efficientnetb0,7,recall,pituitary,0.9875,0.975609756097561,0.9974619289340102,True
efficientnetb0,7,precision,pituitary,0.8700440528634361,0.8384263006324348,0.9,True
efficientnetb0,7,f1,pituitary,0.9250585480093677,0.9057526132894386,0.9426755317167653,True
