architecture,seed,ece,adaptive_ece,classwise_ece,nll,brier_score,temperature,ece_temp_scaled,nll_temp_scaled
mobilenetv2,42,0.05240336909890177,0.052403431832790386,0.04416758081166335,0.5227518081665039,0.16668525346542895,2.0891153812408447,0.015451135598123044,0.36042580008506775
mobilenetv2,789,0.023696940448135174,0.023700959756970404,0.02906659783628129,0.34653863310813904,0.11829438773960037,1.7430275678634644,0.02161825645714998,0.2676598131656647
mobilenetv2,999,0.03574441781267522,0.033260735869407664,0.029949666029642684,0.36954617500305176,0.12420726914750248,1.92742919921875,0.018846903089433938,0.2815243601799011
mobilenetv2,2023,0.020580685008317234,0.020024622045457352,0.024534020412211248,0.28216370940208435,0.12290185970958856,1.4682013988494873,0.02611781157553197,0.2565139830112457
mobilenetv2,7,0.051282854024320854,0.051303194873034946,0.03726625490875449,0.4757022559642792,0.16040095387286926,2.0066545009613037,0.025658886674791555,0.3519209027290344
resnet50,42,0.047431529946625264,0.04712707579135895,0.042919395603676094,0.4786451458930969,0.16518566524301295,2.0241026878356934,0.01789461152628066,0.36708590388298035
resnet50,789,0.029151998441666382,0.02585515283048153,0.026148433259113514,0.3339729607105255,0.11217472375721904,1.8425177335739136,0.029201372303068625,0.2690962553024292
resnet50,999,0.048239882048219426,0.043870109021663654,0.03846334826717794,0.5003166198730469,0.15381808937867908,2.0556933879852295,0.019331023003905982,0.36169129610061646
resnet50,2023,0.03925030320882796,0.03677889011800289,0.042497247757710285,0.4475198984146118,0.18845958562010184,1.7512180805206299,0.03989775374531747,0.3861285448074341
resnet50,7,0.03849497422575947,0.03685647845268252,0.040317435585348,0.4171750247478485,0.14422061922446477,1.9904032945632935,0.018131700530648255,0.3068464398384094
efficientnetb0,42,0.018872928209602804,0.01426849961280823,0.02556541137390014,0.29039087891578674,0.12774325599914596,1.2708849906921387,0.02560436815023418,0.2919095754623413
efficientnetb0,789,0.01788971178233628,0.018147314265370366,0.03149716088875721,0.33763501048088074,0.14486808281590155,1.3581581115722656,0.02895502164959908,0.3111709654331207
efficientnetb0,999,0.02403553258627652,0.02117462307214738,0.03488898924013483,0.3823232352733612,0.15453605899430742,1.6591088771820068,0.02863720657303927,0.3269583582878113
efficientnetb0,2023,0.020043402090668648,0.0110350513458252,0.029314601845180737,0.38758766651153564,0.146480672430754,1.4271409511566162,0.034732778370380385,0.33998119831085205
efficientnetb0,7,0.022957534715533273,0.02140362262725828,0.03547439248039154,0.37862902879714966,0.16870706317860357,1.589598536491394,0.023528431951999662,0.33977988362312317
